description,company_name,job_title,location,time_posted,applicants,type_info,company_info,skills
"About the job
Team Description

Sabre Corporation is a leading technology provider to the global travel and tourism industry. Headquartered in Southlake, Texas, USA. we serve customers in more than 160 countries around the world. At Sabre, we make travel happen. Positioned at the center of the business of travel, our platform connects people with experiences that matter in their lives. Today, we’re creating a new marketplace for personalized travel. It is our people who develop and deliver powerful solutions that meet the current and future needs for our airline, hotel, and travel agency customers. Join our journey!

Sabre’s Legal Department is a dynamic group responsible for providing legal advice to and assisting the Company in conducting business ethically and in compliance with laws around the world. Sabre is seeking a skilled and motivated licensed attorney to join our legal team in India as a Principal, Legal. The successful applicant should be a generalist with deep knowledge of Pakistan law and will be responsible for providing legal advice to the organization on general corporate and commercial law, employment, regulatory, immigration law, litigation, data privacy, intellectual property, trade secrets, and other areas specific to the technology industry. The position will report to Sabre’s SVP - Deputy Chief Legal Officer. This role will provide ancillary support to the Compliance & Ethics function in the region, as well as employment matters in the region.

Role and Responsibilities

What will you achieve? 

Perform manual and automated testing of browser, mobile, API, and embedded applications with minimal supervision.
Write, review, and execute test scenarios using test automation tools.
Troubleshoot issues in software.
Document and maintain test cases.
Provide analysis of testing results to our development team for needed improvements and further development.
Reporting defects
Actively seek to learn new automation tools and techniques

What's in it for you? 

Working with a state-of-the-art hotel property management system. The sky is the limit when it comes to what you can do.
Opportunity to do something that has high impact and game changing in our industry
Be part of one of the world’s largest Travel and Hospitality technology company 

Must Have Skills

Bachelor’s degree in computer science, software engineering, or related field.
Mandatory 1-2 years of hands-on experience in automation testing.
Be familiar with agile development and scrum concepts.
Experience with JIRA.
Estimate, plan, execute, and manage the testing efforts for our products.
Write, review, and execute test scenarios both manually and with test automation tools.
Develop, review, and maintain artifacts produced during the STLC.
Work on end-to-end SDLC, agile testing methodologies, and test phases including unit, integration, system, regression, and performance testing.
Create detailed test cases and test scripts.
Translate the requirements or user stories into test scripts.
Communicate effectively with development teams to get the issues resolved and addressed.
Hands-on experience on UI testing.
Basic SQL knowledge.

Nice To Have Skills

1-2 years of hands-on software testing experience (Web & App).
Bachelor’s degree in Computer Science or Computer Engineering
Solid hands-on experience with framework development and ability to achieve end-to-end automation of workflows (optional).",Sabre Corporation,SQA Engineer I,"Lahore, Punjab, Pakistan ", Reposted 2 weeks ago , Over 100 applicants,Hybrid Full-time Entry level,Hybrid Full-time Entry level,"Communication and Computer ScienceAgile Testing, Scenario Testing, Software Quality Assurance, Software Testing, Test Automation, Test Cases, Test Scripts, and User Stories"
"About the job
Requirements

Job Requirements

Bachelor’s/Master’s degree in Computer Science or a related field.
At least 3+ years of experience as an AI Engineer.
Proficiency in Python, TensorFlow, AutoML, and/or PyTorch.
Experience with Multi Objective Decision Engine, Game Thoery and Behavioral Analytics

Skills

Machine Learning
Data Analysis
Apache Kafka/Spark
AutoML
Google ML
Multi Objective Decision Engine (MODA)
AHP
TOPSIS
Game Theory
Behavioral Analytics
Natural Language Processing
Computer Vision
TensorFlow
PyTorch

What You’ll Be Working On

Job Details

Join a leading AI research team and work on cutting-edge AI projects. Develop machine learning models, natural language processing algorithms, and computer vision solutions.

Job Responsibilities

Design and implement machine learning models and algorithms.
Create data pipelines using different tools like Apache Kafka/Spark and/or other tools.
Collaborate with data scientists and engineers on AI projects.
Stay updated with AI research and industry developments.",Braintrust,ML/AI - Data Scientist Engineer,APJ , Reposted 1 day ago , Over 100 applicants,Remote Full-time Mid-Senior level,Remote Full-time Mid-Senior level,"Artificial Intelligence (AI), Computer Science, Data Analytics, and Pattern RecognitionAHP, Analytics, Automated Machine Learning (AutoML), Data Analysis, Game Theory, and Natural Language Processing (NLP)"
"About the job
We need a data entry person available today that is experience in Shopify, WordPress, Spreadsheet, and MongoDB. You must be experience with posting blog articles and making content changes in both Shopify and WordPress sites. You must be able to read MongoDB CSV exports. We need a strong communicator with a lot of available time.",SAH SERVICES,Commercial properties boundaries review,"Punjab, Pakistan ", 20 hours ago , 16 applicants,Remote Part-time,Remote Part-time,"CommunicationBlogging, Computerized System Validation (CSV), Export Operations, MongoDB, Negotiation, NoSQL, Shopify, Teamwork, and WordPress"
"About the job
About Afiniti

At Afiniti, we are a leading provider of artificial intelligence technology that elevates the customer experience by making moments of human connection more valuable. Our mission is rooted in a simple yet powerful idea: understanding patterns of human behavior enables us to predict how people will interact and create meaningful connections.

Using our patented AI technology, we revolutionize the contact center industry by pairing customers with the most compatible contact center agents. By doing so, we enhance the entire customer journey, resulting in exceptional experiences and improved outcomes for all parties involved.

Our transformative technology has generated billions of dollars in incremental value for our esteemed clients, which include Fortune 500 companies across diverse industries such as financial services, telecommunications, travel, and hospitality. We take pride in our global reach and impact, with our solutions being leveraged by organizations around the world.

To learn more about Afiniti and the groundbreaking work we do, visit www.afiniti.com.

About The Role

A Production Analyst should provide enterprise-level technical support to internal and external customers. They research, diagnose, problem solve the issues to the clients' satisfaction, and continuously improve on delivery. The team is responsible for protecting revenues with 24/7 support for their respective products.

Key Responsibilities

Ability to understand and analyze the problem, and solve it individually or by involving Tier 2/ Tier teams to reduce business impact.
High level of focus to ensure timely detection of problems.
Timely communication of problems to all stakeholders.
Do level 1 investigation to provide articulate details around the problem.
Take end-to-end ownership of problems from detection to resolution (short term/ long term).
Identify key actions to avoid repetitive similar problems.
Work closely with T2 teams to solve problems so a repeated problem can be solved at T1 level.

Minimum Qualifications

Bachelor’s degree in Computer Science.
Fresh to 2 years of work experience.
Fluent in English – spoken and written.
Strong Analytical and Problem-Solving Skills.
Willingness to work in the rotational shifts.
Familiar with working on databases and SQL queries.

Preferred Qualifications

Bachelor’s degree + STEM preferred.
Familiar with working on Windows and Linux platforms.
Good in Mathematics and Statistics.
Familiar with Networking and IT Infrastructure concepts.
Quick Learner and able to adapt to new technologies.

Location work statement:

This is on-site position- based on work you may have to work completely on-site and on rotational shifts.",Afiniti,Production Analyst,"Karachi Division, Sindh, Pakistan ", Reposted 4 days ago , 47 applicants,On-site Full-time Entry level,On-site Full-time Entry level,
"About the job

We are looking for a Fresh Grads Business Development OfficerKey Responsibilities: Identify and pursue new business opportunities.

Build and maintain relationships with potential clients.
Assist in the development and execution of sales strategies.
Conduct market research to identify trends and opportunities.
Collaborate with the marketing and product development teams.
Prepare and deliver presentations to potential clients.
Track and report on sales performance metrics.
Excellent Proposal Writings Skills

Requirements:

Recent graduate with a degree in Business, Marketing, or a related field.
Up to six months of experience in business development or a similar role.
Strong communication and interpersonal skills.
Ability to work independently and as part of a team.
Excellent organizational and time management skills.
Proficiency in Microsoft Office Suite and CRM software.
A proactive and results-driven approach.",TX Dynamics,Fresh Grads Business Development Officer,"Lahore, Punjab, Pakistan ", 19 hours ago , 51 applicants,On-site Full-time,On-site Full-time,"CommunicationBusiness Administration, Finance, Market Research, Marketing Strategy, Negotiation, New Business Development, Research Skills, Sales Management, and Teamwork"
"About the job
Description

HR Force International is excited to introduce three-month intensive training program, designed specifically for fresh graduates, aimed at equipping you with the skills and knowledge to kickstart your career. This program is offered free of cost, providing a unique opportunity to gain hands-on experience, learn from industry experts, and develop a strong foundation in software development without any financial burden. Upon completion, you'll be ready to take on exciting challenges and propel your professional growth.

Program Highlights

Thorough training on backend programming languages, such as PHP, Laravel, or Node.js
Exposure to popular backend frameworks and tools
Database management and query optimization
API development and integration
Security and performance optimization
Hands-on experience with real-world projects
Expert instructors with industry experience
Collaborative learning environment to foster teamwork and communication skills
Access to valuable learning resources and materials
Support and guidance throughout the program

This program is ideal for individuals with a basic understanding of programming and web development concepts who are eager to pursue a career in backend development.

#pf

Requirements

Basic understanding of programming and web development concepts
Passion for backend development and problem-solving
Strong knowledge of at least one backend programming language (e.g., PHP, Laravel, or Node.js)
Familiarity with backend frameworks and databases
Ability to work well in a team and collaborate effectively
Attention to detail and commitment to writing clean and efficient code
Good problem-solving and analytical skills
Excellent communication and collaboration skills

Benefits

Training & Development
Certificate",Programmers Force,Backend Training Program,"Lahore, Punjab, Pakistan ", Reposted 1 week ago , Over 100 applicants,Full-time Internship,Full-time Internship,
"About the job
Are you ready to dive into the world of blockchain development? Kreativstorm, a dynamic and innovative management-consulting firm based in Berlin, Germany, is offering a unique internship opportunity for aspiring blockchain developers. Work remotely with our multinational team and gain hands-on experience in this cutting-edge field!

If you're passionate about blockchain technology and love solving problems, this internship is perfect for you. You'll work on various blockchain projects, learning about smart contracts, decentralized applications (DApps), consensus algorithms, and blockchain security. Gain real-world experience developing blockchain solutions, all from the comfort of your home.

Internship Overview and Details:

Location: Fully Remote

Schedule: Part-Time Internship

Duration: 3 months with the possibility of permanent employment after the internship period

Requirements

Ideal Candidates:

Students pursuing a degree or recent graduates in Computer Science, Information Technology, or a related field. 
Blockchain enthusiasts eager to explore the potential of decentralized technologies. 
Analytical thinkers who enjoy understanding and designing complex algorithms. 
Team players with strong communication skills. 
Detail-oriented individuals who thrive in fast-paced, tech-driven environments. 
Some initial industry experience is a big plus. 
Those with some experience in blockchain platforms and programming languages (e.g., Ethereum, Solidity, Hyperledger) are preferred but not required. 
Basic understanding of blockchain protocols and cryptography is a plus. 

Your Role:

Contribute to blockchain development projects by designing and implementing smart contracts and DApps. 
Work with our development team to explore new use cases and optimize existing solutions. 
Assist in conducting blockchain security assessments and implementing best practices. 
Bring innovative solutions to blockchain challenges and stay updated on emerging trends. 
Help document blockchain architectures, protocols, and project details. 

Benefits

Why Join Us?

Kreativstorm is a dynamic and innovative management-consulting firm headquartered in Berlin, Germany. Our team of experienced consultants bring a diverse range of talents and backgrounds, allowing us to provide tailored solutions to businesses of all sizes and industries. As part of the Yes Network Group, LLC, a reputable US holding company, we have access to extensive resources and expertise. Join us and start your journey in blockchain development today!

Apply now and pave the way for your future in blockchain technology!",Kreativstorm,Blockchain Developer - Intern (Remote Internship - IT),"Islamabad, Islāmābād, Pakistan ", 3 days ago , 0 applicants,Remote Full-time Internship,Remote Full-time Internship,"Computer ScienceBlockchain, Cryptocurrency, Cryptography, Decentralized Applications (DApps), Distributed Ledger Technology (DLT), Ethereum, Hyperledger, Smart Contracts, and Solidity"
"About the job
Xgrid Backend Engineers are skilled and talented professionals, who can design, develop, and test breakthrough software for clouds and data centers. You will enjoy being part of an extremely talented, motivated team interacting with both business and development counterparts to capture key marketing requirements and translate them to products designed for our customers. Moreover, you will be encouraged to become active in the open source communities. This will provide you a unique exposure of the entire ecosystem (involving technology, community, customers and partners) in the cutting edge data center and cloud space.

The ideal Xgrid Backend Engineer will have experience developing and delivering complex “enterprise grade” mission critical automated systems for our data center and cloud customers. The successful candidate will be enthusiastic, self motivated, which is an absolute MUST in a startup environment. They will have a high customer and product delivery orientation, with the ability to both, understand the “big picture” issues AND to drill down to detail.

Responsibilities:

Design and develop scalable, resilient and high performance distributed systems.
Ensure developed applications meet industry standards for performance and quality.
Collaborate with other developers throughout the development process.
Participate in design and code reviews.
Incorporate team members' innovations and contribute your own ideas.
Identify and communicate best practices in Java Development and microservices as a whole.
Assist in architecting backend solutions.
Prepare documentation including designs, flowcharts, and diagrams.
Stay up to date with the ever evolving ecosystem of distributed systems.
Investigate and analyze software issues, addressing performance, scale, and other bottlenecks.
Follow software development lifecycle processes.


Qualifications:

BS in Computer Science, Electrical Engineering, or related field.
Experience developing two or more backend heavy Java applications with prime focus on core business logic and problem solving.
Strong problem solving skills.
Highly proficient in leveraging appropriate data structures.
Knowledge of REST APIs.
Strong background in Object Oriented Programming.
Familiarity with version control tools like Git.
An absolute can do attitude.
Ability to learn and adapt quickly.
Excellent written and verbal communication skills.
Ability to work collaboratively in a fast-paced environment.
Knowledge of AWS or other cloud platforms.",Xgrid.co,Backend Intern (Java),"Islamabad, Islāmābād, Pakistan ", 1 month ago , 0 applicants,On-site Internship Internship,On-site Internship Internship,"Communication, Computer Science, and Problem SolvingBusiness Logic, Code Review, Flow Charts, Industry standards, Mission Critical, Oral Communication, and REST APIs"
"About the job
A renowned US-based client is seeking a committed Data Scientist to join their dynamic team.

In your role as a Data Scientist, your daily responsibilities will include conducting comprehensive peer code reviews and providing constructive feedback for enhancement. Moreover, you will work closely with researchers and other stakeholders to ensure alignment with project specifications.

Responsibilities:

Create effective Python scripts and extract valuable insights from publicly available datasets.
Collaborate with researchers to ensure alignment with project objectives.
Write code in Jupyter notebooks with detailed documentation.
Employ public data repositories like Kaggle to tackle inquiries through data analysis.

Job Requirements:

Bachelor's degree in Engineering, Computer Science, or related field
Minimum of 2 years' relevant experience as a data scientist.
2 years of practical experience in data analysis.
Experience working with Python for over 2 years
Exhibit proficiency in both spoken and written English.

Nice to have:

Familiarity with SQL is advantageous.
Strong problem-solving and analytical skills.

Job Benefits:

Collaborate with leading experts worldwide and become part of a network tailored to your aspirations
Enjoy remote work flexibility with no traditional job constraints
Competitive salary based on global standards in USD
Contribute to pioneering projects that push technological boundaries, keeping you at the forefront of your field.

Join us now and advance your career. Take the tests and MCQs today to increase your chances of securing one of our exciting positions. Seize this opportunity to play a pivotal role in our mission and transform the technology landscape for all.",Turing,Remote Data Science Analyst (Python),Pakistan , Reposted 1 week ago , 78 applicants,Remote Full-time Entry level,Remote Full-time Entry level,"Computer Science, Data Analytics, Data Science, English, and Problem SolvingAnalytical Skills, Data Analysis, Jupyter, Kaggle, and Laptops"
"About the job
A leading US client is seeking Data Scientists.

As a Data Scientist on our team, your daily tasks will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities:

Develop efficient Python codes and gather necessary insights from public datasets.
Communicate with researchers to align with project goals.
Draft codes on Jupyter notebooks with documentation
Utilize public data sources (eg Kaggle) to address inquiries using data analysis.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or equal experience
Minimum of 2 years working as a data scientist.
2 years of hands-on experience in data analysis.
Proficient in Python with a professional track record of 2 years.
Strong grasp of data science and analysis principles.
Fluent in spoken and written English.

Nice to have:

Knowledge of SQL is a plus.
Strong problem-solving and analytical skills are necessary.

Job Benefits:

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Signup today to propel your career forward. Complete the assessments and MCQs immediately to enhance your prospects of securing one of our thrilling roles. Embrace this chance to make a significant impact on our mission and reshape the technology scene for everyone.",Turing,Remote Data Scientist,Pakistan , Reposted 2 weeks ago , 93 applicants,Remote Full-time Entry level,Remote Full-time Entry level,Data ScienceData Analysis
"About the job
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Totogi. Have you got what it takes?

In the fast-paced world of Big Data, companies often drown in the sheer volume and complexity of their data. They struggle to create systems that ensure data quality, integrity, and security while being both scalable and efficient. The need for robust, high-performance data processing solutions has never been greater as data volumes soar.

Enter Totogi. We're rewriting the playbook with our cutting-edge Big Data solutions, leveraging the latest Hadoop ecosystem and cloud technologies. By working closely with data scientists and analysts, we are building data processing systems that supercharge our business. We're powering data-driven business decisions and delivering insights that matter to the company's bottom line.

In this role, you’ll go beyond the technical confines and dive deep into collaboration with data experts. You'll design and implement state-of-the-art data architectures, create and maintain efficient data pipelines, and ensure our data infrastructure is bulletproof. Your work will be the backbone of our data strategy, making you a pivotal player in our mission to transform data into actionable intelligence.

Join our team and become the mastermind behind our data infrastructure. You’ll be responsible for designing innovative Big Data solutions, developing high-performance data pipelines, and managing top-tier data infrastructure. With your skills in Hadoop tools, data processing frameworks, and cloud platforms, you'll drive our data initiatives to new heights. If solving complex data puzzles and working with the latest technologies excites you, then we want you on our team.

What You Will Be Doing

Designing Big Data Solutions: Developing and implementing Hadoop-based data architectures.
Developing Data Pipelines: Creating and maintaining Hadoop-based data pipelines and workflows.
Managing Data Infrastructure: Administering Hadoop clusters and related tools.

Big Data Developer Key Responsibilities

Building a robust and scalable data processing system that ensures data quality, integrity, and security to support business needs and optimize performance.

Basic Requirements

At least 2 years of experience as a Big Data engineer or architect working with Hadoop
Proficiency in using Hadoop ecosystem tools (e.g., HDFS, Hive, HBase, Spark, Kafka)
Familiarity with data warehousing concepts and ETL processes and cloud platforms (e.g., AWS, Azure, GCP)
Proficiency in coding and LLM prompt engineering

About Totogi

Totogi is focused on building telco software for the public cloud and is completely redefining how carriers engage with their subscribers to drive customer love! We are a product-driven telco software company made up of some of the best minds from the telecoms industry and the brightest engineering talent across the globe. Change the game with us.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:

You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.

Important! If you do not receive an email from us:

First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.

Crossover Job Code: LJ-5349-PK-Karāchi-BigDataDevelop",Crossover ,"Big Data Developer, Totogi (Remote) - $60,000/year USD","Karāchi, Sindh, Pakistan ", Reposted 2 days ago , 22 applicants,$30/hr Remote Full-time Associate,$30/hr Remote Full-time Associate,"Big Data, Data Engineering, Data Mining, and HadoopAnalytics, Apache Kafka, HBase, Hive, Large Language Models (LLM), and Prompt Engineering"
"About the job
Description

Position at Zones LLC.

Company Overview

When it comes to IT solution providers, there are a lot of choices. But when it comes to providers with innovative and differentiating end-to-end service offerings, there’s really only one: Zones – First Choice for IT.TM

Zones is a Global Solution Provider of end-to-end IT solutions with an unmatched supply chain. Positioned to be the IT partner you need, Zones, a Minority Business Enterprise (MBE) in business for over 35 years, specializes in Digital Workplace, Cloud & Data Center, Networking, Security, and Managed/Professional/Staffing services. Operating in more than 120 countries, leveraging a robust portfolio, and utilizing the highest certification levels from key partners, including Microsoft, Apple, Cisco, Lenovo, Adobe, and more, Zones has mastered the science of building digital infrastructures that change the way business does business ensuring whatever they need, they can Consider IT Done. Follow Zones, LLC on Twitter @Zones, and LinkedIn and Facebook.

Position Overview

The BSA Sales/ Functional Consultant D365 CE will be a key member of the team at Zones. We are looking for individuals who want to contribute and grow professionally to make an impact on the business transformation of a $2 billion USD company.

Applies specialized knowledge in a solutions development discipline to conceptualize, design, construct, and implement systems that enable and support business functions. Collaborate with business to gather business requirements and prepare functional specification for configurations. Creating unit test cases, creating unit test plans, and executing unit testing. Specify and convey requirements for custom code, integrations, and custom reports to development team and test completed solutions. Create and/or work with developers to create Functional Designs Collaborate with developers on technical designs

What you’ll do as the Business Analyst - Sales:

Employees employed in the role of Business Analyst - Sales shall be required to apply their independent mind and demonstrate intellectual abilities in their decision-making.

The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Knowledge of typical Professional Services business processes or any Global ERP like SAP, Oracle, D365, AX, CRM, Sales Force
Knowledge of D365 CE Functionality/Capabilities with a Tier 1 CRM application. 
Ability to Solution new business needs with Fit/Gap
Ability to Configure and Customize D365 CE applications.
Ability to Learn Zones processes and As-Built configurations and customizations
8+ years’ experience with business process analysis and documentation
8+ years D365 CE implementation experience along with SDLC. 
6+ years’ experience performing end-user requirement gathering, training, design specification creation, and system configuration, UAT.
Knowledge of typical Lead to Quote and Order to Cash business processes.
Candidates must exhibit a high level of professionalism and be able to complete a variety of project tasks in a timely and efficient manner
Demonstrable experience in successfully rolling out complex project’s configurations on time and on budget
Excellent written, presentation, and oral communication skills
Experience with Microsoft Dynamics 365 CE and F&O preferred
Strong customer service orientation
Analytical, troubleshooting, and problem-solving skills
Excellent written and oral communication skills
Logical, efficient & proactive
Ability to effectively communicate ideas
Ability complete tasks as assigned
Experience working in a team-oriented, collaborative environment

What You Will Bring To The Team

Applies specialized knowledge in a solutions development discipline to conceptualize, design, construct, and implement systems that enable and support business functions.
Collaborate with business to gather business requirements and prepare functional specification for configurations.
Creating unit test cases, creating unit test plans, and executing unit testing.
Specify and convey requirements for custom code, integrations, and custom reports to development team and test completed solutions.
Create and/or work with developers to create Functional Designs
Collaborate with developers on technical designs
Bachelor's degree in an Engineering or Science field preferred or 

Zones offers a comprehensive Benefits package

At Zones, we are committed to fostering an inclusive and diverse workplace. We provide comprehensive benefits to support our employees, including health insurance coverage for parents, spouse, and children, life insurance, pension fund scheme, EOBI, and on the house free quality food, gym, and much more. We embrace equal employment opportunity, free from discrimination based on various characteristics, and offer an exciting career immersed in an inventive, collaborative culture.

If you are enthusiastic about working on the cutting edge of IT innovation, sales, engineering, and operations, Zones is the perfect opportunity for you.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status or on the basis of disability.

Job timings: 2:00 PM to 11:00 PM (Pk time)",Zones IT Solutions,Business Systems Analyst - Sales,"Islamabad, Islāmābād, Pakistan ", Reposted 1 week ago , Over 100 applicants,On-site Full-time,On-site Full-time,"Communication and Requirements GatheringBusiness Process, Business Process Analysis, Business Requirements, Custom Reports, Process Analysis, Rollout, System Configuration, and User Acceptance Testing"
"About the job
Note: Through proactive pipelining, we are collecting profiles for upcoming future roles and you will be only contacted if your profile is shortlisted for this role which may not be currently open.

Grade Level: L2

What is Expert Business Analytics?

Jazz is looking for self-driven individuals who want to be part of the Jazz family. You need to have strong interpersonal skills as you will be collaborating with multiple teams including but not limited to Segments, Pricing, Digital, Data Science, CVM, Consumer Insights and external clients. You need to be passionate, analytical and aware of the market dynamics.

The role reports directly to the Head of Business Analytics.

What does Expert Business Analytics do?

Creates visibility to the management through interactive dashboards to monitor performance and raising red flags timely
Develops analytical infrastructure to help answer business queries readily and efficiently
Understands the potential of the market scope of multiple industries for Big Data Analytics
Works effectively with diverse teams to come up with the best solution in coordination with people and organizations
Communicates effectively with all audiences, including management, stakeholders and external clients in a structured manner
Structures ambiguous problems to establish the business need, identifies quantifiable variables and uses them to provide actionable recommendations that address the business need
Conducts market research and in-depth quantitative analysis to derive insights regarding business opportunity gap, customer need analysis and uses them to prescribe actions
Presents learnings from analyses, including actionable insights and recommendations with effective visualizations in presentations and reports
Apart from the details mentioned above for the given role, responsibilities and deliverables will include the following:
Reporting and Monitoring of major KPIs (subscriber, revenue, engagement, etc.)
Deep dives to point out areas of improvement essential for business growth
Identifying new business opportunities in GSM and other industries, determining analysis requirements, and conducting qualitative and quantitative analysis to cash on the opportunity
Writing effective business reports that communicate key insights and findings in reports for external clients
Proficient in creating compelling visualizations and interactive dashboards using Tableau, with a focus on customization and data communication
Competent in performing data preprocessing tasks to optimize Dashboard performance in Tableau
Proficient in conducting Geo-Spatial Analysis in Tableau

Jazz is an equal-opportunity employer. We celebrate, support, and thrive on diversity and are committed to creating an inclusive environment for all employees.

Requirements

3+ years' experience in Business Analytics working with diverse industry experts
Bachelor's degree in marketing or a related field. [ Master is a plus ]
Experience with analytical and reporting tools, including SQL, Tableau, Firebase, Excel, Mix Panel etc
Strong analytical and strategic thinking skills
Ability to make data-driven decisions
Excellent interpersonal and collaboration skills
Strong communication and presentation skills


Benefits

Why Join Jazz?

As one of the leading employers in the country, Jazz epitomizes the philosophy that each Jazz employee is passionately living a better every day inspired and enabled by visionary leadership, a unique professional culture, a flourishing lifestyle, and continuous learning and development.

As one of the largest private sector organizations in Pakistan, our objective is to continue to change the lives of our 70 million customers for the better. This is an opportunity for someone who wants to be part of something transformative, someone who can play a critical role in driving our success. Together, we can empower millions more with the tools necessary to progress in an increasingly digital economy.

Jazz is an equal opportunity employer. We celebrate, support, and thrive on diversity and are committed to creating an inclusive environment for all employees.",Jazz,Expert Business Analytics (Proactive Pipeline),"Islamabad, Islāmābād, Pakistan ", 2 months ago , 37 applicants,On-site Full-time Associate,On-site Full-time Associate,"Communication and Data AnalyticsAnalytics, Business Analytics, Business Insights, External Clients, Presentations, Spatial Analysis, Strategic Thinking, and Thinking Skills"
"About the job
LOCATION: Faisalabad/ Multan 

REPORTS TO: Dy. Manager Maize Production 

DIRECT REPORTS: NIL

Rafhan Maize is an affiliate of Ingredion Incorporated in Pakistan. Our strategy is a unique blend of volume growth and operational excellence. We are pursuing tri dimensional strategy to grow organically, geographically and by broadening ingredients portfolio. If you are inspired by professional challenges and the rewards that come from a high level of performance, then Ingredion (Rafhan Maize) is the company for you. At Ingredion (Rafhan Maize) you can be a member of a globally connected team inspired to achieve great things.

We don’t just make ingredients. We create possibilities. Be What’s Next® with us. 

The AGRONOMIST will be responsible for Achievement of corn (speciality & regular) procurement and sustainability targets allocated by the management. She/He will conduct on-farm experiments to prove technology benefits and find easy-to-adopt application procedures.

Core Responsibilities

Business Responsibilities:

To ensure sowing of targeted waxy acreage by cascading Rafhan’s contract growing policy.
To comply with the rules set by the EHS Committee and ensure that all the EHS guidelines are duly abided by.
To ensure safety throughout work and travel keeping in mind, Rafhan’s Safety Pledge and ensuring nil reportable incidents during the year.
To comply all protocols/SOPs for maize procurement, from the packing material delivery to production receipt at company’s warehouses.
To maintain healthy relationships with growers in a professional and mutually beneficial manner.

Technical Responsibilities

To provide beat’s information to Dy. Manager Maize Production on latest on-going developments in corn crop scenario, and in planning, strategic decision making and driving the business results.
To discuss and come up with the best ways of planting, development and harvesting corn with contracting farmers.
To steer detasseling of seed plots.
To regularly seek and takes opportunities to deepen and broaden professional skills.
To initiate maize development activities and create a competitive environment/space for non-GMO corn production.
To steer strategies for sustainability and safety of rural community.

Training Responsibilities

To motivate/train farmers to follow sustainable farming practices in accordance with Rafhan’s pledge of sustainable farming.
To spread awareness amongst maize farmers on new trends and productivity enhancement practices via training sessions.
To conduct farmer training on unprecedented challenges regarding farm management.
To execute training to the farmers on quality enhancement of raw materials.
To initiate training sessions to educate growers about yield enhancement in changing climatic conditions.

Mandatory Requirements

Qualified candidates will have:

B.Sc. (hons)/M.Sc. in Agriculture
3-5 years in agricultural crop production/ development
English fluency, both written and spoken

Desirable Requirements

Sound knowledge and hands on experience in agricultural farming preferably maize
Supplier relationship management
Risk management/mitigation
Strategic sourcing, planning and management

Required Behaviors And Skills

Good analytical and communication skills
Must have knowledge of Microsoft Office Suite (Excel, Word, PowerPoint, Outlook).

Relocation Available:

No",Rafhan Maize Products Co. Ltd.,Agronomist,"Faisalabad, Punjab, Pakistan ", Reposted 1 week ago , Over 100 applicants,Hybrid Full-time Mid-Senior level,Hybrid Full-time Mid-Senior level,"CommunicationAgriculture, Corn, Crop Management, Crop Production, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Professional Skills, and Supplier Relationship Management"
